update,loss,policy_loss,value_loss,entropy,fps,eval_avg_return
1102,-0.1322767734527588,-0.08843003213405609,0.005918835289776325,4.976558685302734,2168.3040885253977,nan
1103,0.0063942112028598785,0.03484872356057167,0.0213300883769989,4.978460311889648,2168.4104930691665,nan
1104,-0.11945781111717224,-0.08051198720932007,0.010895559564232826,4.984138011932373,2168.497169293617,nan
1105,-0.008668813854455948,0.03845379129052162,0.0027430574409663677,4.986566543579102,2168.6258017287482,nan
1106,-0.05751757323741913,-0.0221097432076931,0.014463195577263832,4.98710298538208,2168.714591268456,nan
1107,-0.11226522922515869,-0.07128815352916718,0.00890989787876606,4.988697052001953,2168.7404903264614,nan
1108,-0.007807064801454544,0.039512332528829575,0.0025943820364773273,4.991377830505371,2168.6832509775863,nan
1109,-0.10095765441656113,-0.052436307072639465,0.0014041172107681632,4.992546558380127,2168.7355175636703,nan
1110,-0.024670058861374855,0.018772725015878677,0.006488194689154625,4.99309778213501,2168.8088636515167,nan
1111,-0.13311311602592468,-0.0947028324007988,0.011524869129061699,4.993515968322754,2168.9177709358246,nan
1112,-0.018659304827451706,0.030152689665555954,0.0011186650954186916,4.99306583404541,2169.049830687873,nan
1113,-0.07293884456157684,-0.049466148018836975,0.026460692286491394,4.993339538574219,2169.0927000336087,nan
1114,-0.04798181727528572,0.0004052072763442993,0.0015579082537442446,4.99449348449707,2169.1892655482457,nan
1115,-0.08938297629356384,-0.04138150066137314,0.001950063044205308,4.99515438079834,2169.2973501953347,nan
1116,-0.056498073041439056,-0.0077018532902002335,0.0011454634368419647,4.994168758392334,2169.3977042187857,nan
1117,-0.10239677131175995,-0.06697021424770355,0.014505794271826744,4.993235111236572,2169.473555288156,nan
1118,-0.09147226810455322,-0.04264412820339203,0.001109099481254816,4.9937238693237305,2169.5888092270293,nan
1119,-0.036710090935230255,0.010965090245008469,0.0022603783290833235,4.993556022644043,2169.69978285718,nan
1120,-0.06718123704195023,-0.030740737915039062,0.01349499262869358,4.993549346923828,2169.64673272646,nan
1121,-0.07658197730779648,-0.034003980457782745,0.007398971356451511,4.997696876525879,2169.7180925452985,nan
1122,-0.007890366017818451,0.031582772731781006,0.010551773011684418,5.002491474151611,2169.8092798102953,nan
1123,-0.007446411997079849,0.027793865650892258,0.014806155115365982,5.004643440246582,2169.886315618265,nan
1124,0.00036923959851264954,0.03932537883520126,0.011083243414759636,5.003938674926758,2169.962274654431,nan
1125,-0.11833052337169647,-0.06958788633346558,0.0012717219069600105,5.001436233520508,2169.9634333738745,nan
1126,-0.0876876711845398,-0.03947770595550537,0.001770326285623014,4.9980292320251465,2169.9556713533743,nan
1127,-0.06803393363952637,-0.031231148168444633,0.013186780735850334,4.998956203460693,2170.000649145796,nan
1128,-0.09626983106136322,-0.047680050134658813,0.0014410348376259208,5.003082275390625,2170.021498983555,nan
1129,-0.007139042019844055,0.04158059507608414,0.0013124054530635476,5.003204345703125,2170.167415172848,nan
1130,0.015589363873004913,0.048532046377658844,0.017090078443288803,5.0032758712768555,2170.2065469402264,nan
1131,-0.10424859821796417,-0.057372480630874634,0.0031609488651156425,5.003706455230713,2170.3671045049214,nan
1132,-0.08530106395483017,-0.039462074637413025,0.004194474779069424,5.0033464431762695,2170.434701721405,nan
1133,-0.12199674546718597,-0.08169293403625488,0.00973439309746027,5.003820419311523,2170.4214550120146,nan
1134,-0.1236296221613884,-0.07489342242479324,0.0012908336939290166,5.002703666687012,2170.551790080129,nan
1135,-0.009142138063907623,0.02250315248966217,0.018375325947999954,5.00206184387207,2170.698102355265,nan
1136,-0.15703582763671875,-0.11067207157611847,0.0036709243431687355,5.003468036651611,2170.824953153323,nan
1137,-0.05159446597099304,-0.011107204481959343,0.009595938958227634,5.008320331573486,2170.928194667383,nan
1138,-0.03899281471967697,0.00877562165260315,0.0023553238715976477,5.012375831604004,2171.0468956265345,nan
1139,-0.08864960819482803,-0.04986727237701416,0.011351969093084335,5.013430595397949,2171.143160200149,nan
1140,-0.08804628252983093,-0.04296901822090149,0.005061504431068897,5.0138773918151855,2171.3111142906123,nan
1141,-0.08888663351535797,-0.045071884989738464,0.006346278823912144,5.0161027908325195,2171.4169812270134,nan
1142,-0.02403891645371914,0.014360383152961731,0.011802634224295616,5.020193576812744,2171.521986616903,nan
1143,-0.10029764473438263,-0.050869714468717575,0.0008034308557398617,5.023136138916016,2171.6348350373664,nan
1144,0.01252685859799385,0.05455153062939644,0.008229825645685196,5.025449752807617,2171.741518575119,nan
1145,-0.0027031898498535156,0.03499864786863327,0.0125572569668293,5.025909423828125,2171.741745341864,nan
1146,-0.1712368279695511,-0.12217247486114502,0.0012053780956193805,5.026973247528076,2171.825989163569,nan
1147,-0.060369160026311874,-0.01719820685684681,0.007115787826478481,5.028674125671387,2171.975127365484,nan
1148,-0.0731697604060173,-0.04528964310884476,0.022434206679463387,5.031432628631592,2172.1357167105307,nan
1149,-0.06732848286628723,-0.018682604655623436,0.0017059369711205363,5.035181999206543,2172.2644494919,nan
1150,-0.12773999571800232,-0.08080518245697021,0.003456374630331993,5.039118766784668,2172.285626583257,nan
1151,-0.004170272499322891,0.02531849592924118,0.020919427275657654,5.0408196449279785,2172.359245962963,nan
1152,-0.07957431674003601,-0.03369324654340744,0.004546700045466423,5.042777061462402,2172.478277427003,nan
1153,-0.15235954523086548,-0.11676504462957382,0.014858019538223743,5.045252799987793,2172.6069483500446,nan
1154,-0.004388786852359772,-0.0007076002657413483,0.04678972810506821,5.047091484069824,2172.6735812568727,nan
1155,-0.08429425209760666,-0.03819429874420166,0.004379572346806526,5.047952651977539,2172.8287614683463,nan
1156,-0.09763140976428986,-0.04809144139289856,0.0009670362342149019,5.050701141357422,2172.9673062981024,nan
1157,-0.045632440596818924,-0.005543767474591732,0.010461593046784401,5.055027008056641,2173.060337151487,nan
1158,-0.024050753563642502,0.025680776685476303,0.0008449545712210238,5.057648658752441,2173.1625578182575,nan
1159,0.016716331243515015,0.05858610197901726,0.008731610141694546,5.060137748718262,2173.1797880126137,nan
1160,0.013158824294805527,0.03727278113365173,0.026503287255764008,5.061724662780762,2173.2618903982934,nan
